source_ko	title_en
임원ㆍ주요주주특정증권등소유상황보고서	Report on Ownership of Specified Securities by Officers and Major Shareholders
증권발행실적보고서	Securities Issuance Results Report
투자설명서(일괄신고)	Prospectus (Shelf Registration)
일괄신고추가서류(파생결합증권-주가연계증권)	Shelf Registration Supplement (Derivative-Linked Securities — Equity-Linked Securities)
기업설명회(IR)개최(안내공시)	Investor Relations Event Notice
최대주주등소유주식변동신고서	Report on Changes in Shareholdings of the Largest Shareholder and Related Parties
영업(잠정)실적(공정공시)	Preliminary Operating Results (Fair Disclosure)
일괄신고추가서류(파생결합사채-주가연계파생결합사채)	Shelf Registration Supplement (Derivative-Linked Bonds — Equity-Linked Bonds)
주식등의대량보유상황보고서(약식)	Large Shareholding Report (Short Form)
연결재무제표기준영업(잠정)실적(공정공시)	Preliminary Operating Results on a Consolidated Basis (Fair Disclosure)
주식등의대량보유상황보고서(일반)	Large Shareholding Report (General Form)
기타주요경영사항	Other Material Management Matters
일괄신고추가서류(기타파생결합증권)	Shelf Registration Supplement (Other Derivative-Linked Securities)
증권발행실적보고서[파생결합증권(주가연계증권)]	Securities Issuance Results Report [Derivative-Linked Securities (Equity-Linked Securities)]
독립이사의선임ㆍ해임또는중도퇴임에관한신고	Report on the Appointment, Dismissal, or Early Resignation of an Independent Director
일괄신고추가서류[파생결합증권(주가연계증권)의경우]	Shelf Registration Supplement [Derivative-Linked Securities (Equity-Linked Securities)]
단일판매ㆍ공급계약체결	Single Sales or Supply Contract
대규모기업집단현황공시[분기별공시(개별회사용)]	Large Business Group Status Disclosure [Quarterly Disclosure (Individual Company)]
주주총회소집공고	Notice of General Meeting of Shareholders
특수관계인과의수익증권거래	Beneficiary Certificate Transaction with a Related Party
투자설명서[파생결합증권(주가연계증권)]	Prospectus [Derivative-Linked Securities (Equity-Linked Securities)]
정기주주총회결과	Results of the Annual General Meeting of Shareholders
주주총회소집결의	Resolution to Convene a General Meeting of Shareholders
최대주주등에대한부동산임대	Real Estate Lease to the Largest Shareholder or Related Parties
동일인등출자계열회사와의상품ㆍ용역거래변경	Change in Goods or Services Transactions with an Affiliate Funded by the Same Controlling Person or Related Parties
감사보고서제출	Submission of Audit Report
결산실적공시예고(안내공시)	Advance Notice of Financial Results Disclosure
의결권대리행사권유참고서류	Reference Materials for Proxy Solicitation
기타경영사항(자율공시)	Other Management Matters (Voluntary Disclosure)
증권신고서(채무증권)	Securities Registration Statement (Debt Securities)
현금ㆍ현물배당결정	Cash or In-Kind Dividend Decision
사업보고서	Annual Report
반기보고서	Semiannual Report
분기보고서	Quarterly Report
감사보고서	Audit Report
간이투자설명서	Simplified Prospectus
예비투자설명서	Preliminary Prospectus
증권신고서	Securities Registration Statement
일괄신고서	Shelf Registration Statement
일괄신고추가서류	Shelf Registration Supplement
대규모기업집단현황공시	Large Business Group Status Disclosure
동일인등출자계열회사와의상품ㆍ용역거래	Goods or Services Transactions with an Affiliate Funded by the Same Controlling Person or Related Parties
특수관계인으로부터기타유가증권매수	Purchase of Other Securities from a Related Party
약관에의한금융거래시계열금융회사의거래상대방의공시	Disclosure by the Counterparty to Financial Transactions Under Standard Terms with an Affiliated Financial Company
매출액또는손익구조30%(대규모법인은15%)이상변경	Change of 30% or More in Revenue or Profit/Loss Structure (15% for Large Companies)
조회공시요구	Request for Inquiry Disclosure
조회공시요구(풍문또는보도)에대한답변	Response to Inquiry Disclosure Request Regarding Rumors or Media Reports
타법인주식및출자증권취득결정	Decision to Acquire Shares or Equity Securities of Another Company
특수관계인과의내부거래	Internal Transaction with a Related Party
특수관계인에대한출자	Equity Investment in a Related Party
계열회사변경	Change in Affiliates
최대주주등으로부터부동산임차	Lease of Real Estate from the Largest Shareholder or Related Parties
타인에대한채무보증결정	Decision to Guarantee Debt for Another Party
기업지배구조보고서공시	Corporate Governance Report Disclosure
장래사업ㆍ경영계획	Future Business and Management Plans
수시공시의무관련사항	Matters Related to Ad Hoc Disclosure Obligations
일반투자자-주식등의대량보유(변동)보고서	Large Shareholding and Change Report — General Investor
풍문또는보도에대한해명	Clarification Regarding Rumors or Media Reports
대표이사(대표집행임원)변경	Change of Chief Executive Officer or Representative Executive Officer
공정거래자율준수프로그램운영현황	Status of Fair Trade Compliance Program Operations
영업실적등에대한전망	Forecast of Operating Results and Other Matters
자기주식처분결과보고서	Treasury Share Disposal Results Report
최대주주등에대한출자	Equity Investment in the Largest Shareholder or Related Parties
주요사항보고서	Material Event Report
신규시설투자등	Investment in New Facilities and Other Assets
기업설명회(IR)개최	Investor Relations Event
지속가능경영보고서등관련사항	Matters Related to Sustainability Reports
지급수단별ㆍ지급기간별지급금액및분쟁조정기구에관한사항	Payments by Payment Method and Payment Period and Matters Concerning Dispute Resolution Bodies
최대주주등을위한채무보증	Debt Guarantee for the Largest Shareholder or Related Parties
특수관계인과의보험거래	Insurance Transaction with a Related Party
주식매수선택권부여에관한신고	Report on Grant of Stock Options
사외이사선임결의	Resolution to Appoint an Outside Director
현금ㆍ현물배당을위한주주명부폐쇄(기준일)결정	Decision on Record Date for Cash or In-Kind Dividends
타법인주식및출자증권처분결정	Decision to Dispose of Shares or Equity Securities of Another Company
주주총회개최결의	Resolution to Hold a General Meeting of Shareholders
주주명부폐쇄기간또는기준일설정	Establishment of Shareholder Register Closure Period or Record Date
투자판단관련주요경영사항	Material Management Matter Relevant to Investment Decisions
임시주주총회결과	Results of an Extraordinary General Meeting of Shareholders
계열금융회사를거래상대방으로한단기금융상품거래의분기별공시	Quarterly Disclosure of Short-Term Financial Product Transactions with an Affiliated Financial Company
자기주식취득결과보고서	Treasury Share Acquisition Results Report
계열금융회사의약관에의한금융거래-	Financial Transactions Under Standard Terms with an Affiliated Financial Company —
감사위원회위원선임	Appointment of an Audit Committee Member
채무보증	Debt Guarantee
유상증자결정	Decision on Capital Increase with Consideration
해외직접투자	Direct Investment Overseas
특수관계인에대한부동산임대	Real Estate Lease to a Related Party
공정공시의무(종합)관련사항	Matters Related to Fair Disclosure Obligations (Comprehensive)
신탁계약등체결신고서	Report on Execution of a Trust Agreement
특수관계인에대한증여	Donation to a Related Party
파생상품미결제약정잔액발생및변동	Occurrence and Change in Outstanding Derivative Contract Balances
신탁계약해지결과보고서	Trust Agreement Termination Results Report
사외이사중도퇴임	Early Resignation of an Outside Director
주식소각결정	Decision to Cancel Shares
자기주식취득신탁계약등연장결정	Decision to Extend a Treasury Share Acquisition Trust Agreement
생산중단	Production Suspension
현금배당결정	Cash Dividend Decision
단기금융상품거래의분기별공시	Quarterly Disclosure of Short-Term Financial Product Transactions
해외증권거래소등에신고한사업보고서등의국내신고	Domestic Filing of Business Reports Filed with an Overseas Securities Exchange
기타안내사항	Other Notice
특수관계인과의기타유가증권의거래	Transaction in Other Securities with a Related Party
주주총회집중일개최사유신고	Report on Reasons for Holding a General Meeting on a Concentrated Meeting Date
연결재무제표기준영업실적등에대한전망	Forecast of Operating Results on a Consolidated Basis
기관투자자-주식등의대량보유(변동)보고서	Large Shareholding and Change Report — Institutional Investor
특수관계인에대한자금대여	Loan of Funds to a Related Party
자기주식처분결정	Decision to Dispose of Treasury Shares
특수관계인과의CP매도	Sale of Commercial Paper to a Related Party
계열회사의추가	Addition of an Affiliate
유가증권-수익증권	Securities — Beneficiary Certificates
신탁계약에의한취득상황보고서	Report on Acquisition Status Under a Trust Agreement
